position_bin_start	hits	total	hit_rate
5000	1	5	0.200
5400	1	1	1.000
5600	1	4	0.250
5800	3	5	0.600
6000	0	3	0.000
6400	4	5	0.800
6600	4	4	1.000
6800	3	4	0.750
7000	1	2	0.500
7200	0	2	0.000
7600	3	6	0.500
7800	1	2	0.500
8000	0	1	0.000
8200	2	3	0.667
8400	2	3	0.667
8600	1	2	0.500
8800	1	5	0.200
12000	0	3	0.000
12200	0	1	0.000
12400	1	2	0.500
12600	1	1	1.000
12800	2	4	0.500
13000	3	7	0.429
13200	2	4	0.500
13400	1	3	0.333
13600	0	2	0.000
13800	1	3	0.333
14000	2	4	0.500
14200	0	3	0.000
14400	0	4	0.000
14600	2	3	0.667
14800	0	1	0.000
15000	3	6	0.500
15400	0	3	0.000
15600	1	2	0.500
15800	0	1	0.000
19000	2	2	1.000
19200	3	7	0.429
19400	1	3	0.333
19600	2	2	1.000
19800	2	4	0.500
20000	2	7	0.286
20200	0	1	0.000
20400	3	3	1.000
20600	2	3	0.667
20800	0	3	0.000
21000	1	1	1.000
21400	2	5	0.400
21600	1	1	1.000
21800	3	4	0.750
22000	2	2	1.000
22200	1	4	0.250
22400	1	3	0.333
22600	2	3	0.667
26000	1	1	1.000
26200	2	5	0.400
26400	0	2	0.000
26600	1	2	0.500
26800	2	2	1.000
27000	1	5	0.200
27200	1	1	1.000
27600	0	1	0.000
27800	2	2	1.000
28000	2	3	0.667
28200	3	7	0.429
28400	4	4	1.000
28600	1	2	0.500
28800	2	4	0.500
29000	2	3	0.667
29200	1	2	0.500
29400	2	4	0.500
29600	1	2	0.500
29800	0	5	0.000
33200	1	5	0.200
33400	2	2	1.000
33600	0	1	0.000
33800	0	3	0.000
34000	1	3	0.333
34200	3	4	0.750
34400	2	6	0.333
34600	1	5	0.200
34800	1	3	0.333
35000	0	1	0.000
35400	0	3	0.000
35600	1	1	1.000
35800	1	3	0.333
36000	2	3	0.667
36200	3	4	0.750
36400	3	3	1.000
36600	0	2	0.000
36800	1	4	0.250
40000	1	3	0.333
40200	3	5	0.600
40400	1	3	0.333
40600	1	4	0.250
41000	2	5	0.400
41200	1	2	0.500
41400	0	1	0.000
41600	1	2	0.500
41800	1	2	0.500
42000	3	3	1.000
42200	2	4	0.500
42400	1	2	0.500
42600	4	6	0.667
42800	2	3	0.667
43000	0	2	0.000
43200	2	3	0.667
43400	2	4	0.500
43600	0	1	0.000
43800	0	2	0.000
47000	1	2	0.500
47200	0	1	0.000
47400	1	2	0.500
47600	1	1	1.000
47800	0	3	0.000
48000	1	2	0.500
48200	3	4	0.750
48400	0	2	0.000
48600	1	1	1.000
49000	0	3	0.000
49200	2	4	0.500
49400	3	5	0.600
49600	1	4	0.250
49800	2	3	0.667
50000	2	4	0.500
50200	2	3	0.667
50400	0	3	0.000
50600	1	4	0.250
50800	3	5	0.600
